Name,Site Name,Speciality 1,Speciality 2,Day Reg Planned Hrs,Day Reg Actual Hrs,Day Unreg Planned Hrs,Day Unreg Actual Hrs,Night Reg Planned Hrs,Night Reg Actual Hrs,Night Unreg Planned Hrs,Night Unreg Actual Hrs,Patient Count At Midnight,Missing Census Count,Division,Month,,,
ACCP,Medway NHS,-,,"1,260.00",0,0,0,345,0,0,0,0,0,Planned,01/04/2020,,,
Anaesthetics & Pain Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Audiology Dept,Medway NHS,-,,"1,833.50",505.25,836,281.5,0,0,0,0,0,0,Planned,01/04/2020,,,
Cancer Services Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Cancer Services CNS,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Children's Community Learning Disabilities Team,Medway NHS,-,,"2,055.00",44.33,165,78,0,0,0,0,0,0,Planned,01/04/2020,,,
Co-ordinated Care Specialist Nurses,Medway NHS,-,,"2,826.00","1,508.50",0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Colposcopy,Medway NHS,-,,652.5,415,404.5,340,0,0,0,0,0,0,Planned,01/04/2020,,,
Community Paediatric Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
ENT Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Galton Day Unit Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
General Surgery Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Gynaecology Admin,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
Looked After Children,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
M - Anaesthetics Medics,Medway NHS,-,,0,0,0,0,0,0,0,0,0,0,Planned,01/04/2020,,,
